iter	Passed	Remaining
890	18050	2208
891	18068	2187
892	18087	2167
893	18108	2147
894	18130	2127
895	18151	2106
896	18172	2086
897	18195	2066
898	18214	2046
899	18234	2026
900	18254	2005
901	18274	1985
902	18296	1965
903	18316	1945
904	18338	1924
905	18359	1904
906	18381	1884
907	18401	1864
908	18422	1844
909	18443	1824
910	18465	1803
911	18486	1783
912	18507	1763
913	18529	1743
914	18550	1723
915	18572	1703
916	18594	1683
917	18615	1662
918	18634	1642
919	18653	1622
920	18673	1601
921	18692	1581
922	18710	1560
923	18730	1540
924	18749	1520
925	18770	1500
926	18790	1479
927	18811	1459
928	18831	1439
929	18852	1419
930	18872	1398
931	18894	1378
932	18914	1358
933	18935	1338
934	18956	1317
935	18976	1297
936	18997	1277
937	19015	1256
938	19036	1236
939	19056	1216
940	19077	1196
941	19098	1175
942	19118	1155
943	19138	1135
944	19159	1115
945	19180	1094
946	19201	1074
947	19221	1054
948	19242	1034
949	19261	1013
950	19282	993
951	19301	973
952	19321	952
953	19341	932
954	19360	912
955	19379	891
956	19399	871
957	19418	851
958	19438	831
959	19458	810
960	19478	790
961	19499	770
962	19521	750
963	19543	729
964	19562	709
965	19582	689
966	19602	668
967	19623	648
968	19642	628
969	19662	608
970	19680	587
971	19699	567
972	19719	547
973	19738	526
974	19757	506
975	19777	486
976	19797	466
977	19816	445
978	19836	425
979	19857	405
980	19876	384
981	19895	364
982	19914	344
983	19933	324
984	19953	303
985	19973	283
986	19992	263
987	20012	243
988	20031	222
989	20051	202
990	20071	182
991	20091	162
992	20110	141
993	20129	121
994	20149	101
995	20171	81
996	20191	60
997	20213	40
998	20235	20
999	20256	0
