,Date,Open_price,Day_high,Day_low,Closing_price,Currency Pair
4503,2022-02-14,85.59970,85.87280,85.34740,85.56290,EUR/INR
4504,2022-02-15,85.57350,85.71870,85.25980,85.36960,EUR/INR
4505,2022-02-16,85.36890,85.49060,85.21660,85.32310,EUR/INR
4506,2022-02-17,85.32310,85.42840,85.12750,85.31600,EUR/INR
4507,2022-02-18,85.32120,85.37510,84.48770,84.57840,EUR/INR
4508,2022-02-21,84.50450,84.81100,84.26040,84.28870,EUR/INR
4509,2022-02-22,84.26520,84.94030,84.19930,84.54730,EUR/INR
4510,2022-02-23,84.59390,84.70490,84.37380,84.40040,EUR/INR
4511,2022-02-24,84.44860,84.84630,84.06570,84.67710,EUR/INR
4512,2022-02-25,84.74070,84.77470,84.08330,84.66240,EUR/INR
4513,2022-02-28,84.02580,84.90770,83.77420,84.70270,EUR/INR
4514,2022-03-01,84.70380,84.72570,84.00410,84.30090,EUR/INR
4515,2022-03-02,84.33960,84.47100,83.80370,84.17040,EUR/INR
4516,2022-03-03,84.11560,84.30030,83.87050,84.05850,EUR/INR
4517,2022-03-04,84.05280,84.07480,83.20740,83.53080,EUR/INR
4518,2022-03-07,83.36910,83.94870,83.35270,83.74180,EUR/INR
4519,2022-03-08,83.69950,84.22700,83.36120,83.82800,EUR/INR
4520,2022-03-09,83.81220,84.71100,83.79740,84.54760,EUR/INR
4521,2022-03-10,84.31300,84.78850,83.77550,83.84230,EUR/INR
4522,2022-03-11,83.96480,84.50140,83.49010,83.71350,EUR/INR
4523,2022-03-14,83.66400,84.15880,83.49040,83.72890,EUR/INR
4524,2022-03-15,83.74720,84.35320,83.51700,83.51770,EUR/INR
4525,2022-03-16,83.55520,84.18960,83.45510,84.18960,EUR/INR
4526,2022-03-17,84.12410,84.60040,83.57710,84.28510,EUR/INR
4527,2022-03-18,84.26690,84.45750,83.77150,84.07300,EUR/INR
4528,2022-03-21,84.02400,84.25310,83.90120,84.02670,EUR/INR
4529,2022-03-22,83.97110,84.07600,83.64990,83.98330,EUR/INR
4530,2022-03-23,83.99470,84.32600,83.78230,84.24240,EUR/INR
4531,2022-03-24,84.20070,84.25770,83.72770,83.90640,EUR/INR
4532,2022-03-25,83.93450,84.11560,83.74510,83.78610,EUR/INR
4533,2022-03-28,83.76850,83.78450,83.32330,83.65810,EUR/INR
4534,2022-03-29,83.67750,84.22460,83.41570,83.89260,EUR/INR
4535,2022-03-30,83.93000,84.65790,83.91190,84.64180,EUR/INR
4536,2022-03-31,84.73200,84.80410,83.97610,84.09460,EUR/INR
4537,2022-04-01,84.07710,84.10690,83.80220,83.93660,EUR/INR
4538,2022-04-04,83.97160,83.99470,82.68270,82.79820,EUR/INR
4539,2022-04-05,82.79740,82.90960,82.18000,82.24200,EUR/INR
4540,2022-04-06,82.30420,82.97940,82.19470,82.77840,EUR/INR
4541,2022-04-07,82.83110,83.08840,82.49000,82.58780,EUR/INR
4542,2022-04-08,82.53610,82.60630,82.22650,82.59070,EUR/INR
4543,2022-04-11,82.69170,83.04090,82.49470,82.54350,EUR/INR
4544,2022-04-12,82.56130,82.98160,82.40280,82.44820,EUR/INR
4545,2022-04-13,82.37480,82.92370,82.36250,82.92180,EUR/INR
4546,2022-04-14,82.91190,83.13160,82.03270,82.61930,EUR/INR
4547,2022-04-15,82.51960,82.56740,82.38730,82.50860,EUR/INR
4548,2022-04-18,82.42330,82.52420,82.14960,82.26340,EUR/INR
4549,2022-04-19,82.23450,82.63660,82.12700,82.47880,EUR/INR
4550,2022-04-20,82.48180,82.86750,82.47530,82.78410,EUR/INR
4551,2022-04-21,82.78210,83.25680,82.53920,82.67200,EUR/INR
4552,2022-04-22,82.64190,82.86760,82.40660,82.60050,EUR/INR
4553,2022-04-25,82.65250,82.70480,81.97960,82.00140,EUR/INR
4554,2022-04-26,82.23190,82.27180,81.57590,81.64980,EUR/INR
4555,2022-04-27,81.63760,81.77530,80.61000,80.90680,EUR/INR
4556,2022-04-28,80.73060,80.86100,80.32740,80.54210,EUR/INR
4557,2022-04-29,80.48650,80.91030,80.44920,80.91030,EUR/INR
4558,2022-05-02,80.60770,80.66730,80.27980,80.38830,EUR/INR
4559,2022-05-03,80.48870,80.93650,80.37370,80.49390,EUR/INR
4560,2022-05-04,80.48200,80.96080,80.20760,80.84490,EUR/INR
4561,2022-05-05,81.02240,81.02240,80.34560,80.68840,EUR/INR
4562,2022-05-06,80.69410,81.51520,80.56940,81.19170,EUR/INR
4563,2022-05-09,81.12770,81.90600,80.92710,81.69170,EUR/INR
4564,2022-05-10,81.68350,81.85280,81.30800,81.31760,EUR/INR
4565,2022-05-11,81.35310,81.68620,81.14490,81.36250,EUR/INR
4566,2022-05-12,81.34750,81.68130,80.14790,80.40280,EUR/INR
4567,2022-05-13,80.40480,80.69820,80.31240,80.69820,EUR/INR
4568,2022-05-16,80.66210,81.28030,80.57300,81.22830,EUR/INR
4569,2022-05-17,81.25360,81.75630,80.80780,81.67870,EUR/INR
4570,2022-05-18,81.73250,81.79740,81.35940,81.44330,EUR/INR
4571,2022-05-19,81.60410,82.15500,81.25550,81.94540,EUR/INR
4572,2022-05-20,81.90770,82.25560,81.79770,82.25560,EUR/INR
4573,2022-05-23,82.26920,82.94180,82.18940,82.91460,EUR/INR
4574,2022-05-24,82.83900,83.34770,82.65940,83.16140,EUR/INR
4575,2022-05-25,83.18930,83.19320,82.61310,82.82740,EUR/INR
4576,2022-05-26,82.86020,83.38700,82.75960,83.34540,EUR/INR
4577,2022-05-27,83.37060,83.57040,82.99490,83.32670,EUR/INR
4578,2022-05-30,83.31350,83.64480,83.20310,83.59210,EUR/INR
4579,2022-05-31,83.56990,83.57770,83.01600,83.29430,EUR/INR
4580,2022-06-01,83.31840,83.32500,82.48640,82.62010,EUR/INR
4581,2022-06-02,82.61550,83.20490,82.59180,83.18400,EUR/INR
4582,2022-06-03,83.19170,83.54860,83.10160,83.21880,EUR/INR
4583,2022-06-06,83.20750,83.50980,83.12380,83.23260,EUR/INR
4584,2022-06-07,83.20540,83.21970,82.85550,83.17470,EUR/INR
4585,2022-06-08,83.16110,83.51410,82.92780,83.27770,EUR/INR
4586,2022-06-09,83.29870,83.69240,82.60730,82.63530,EUR/INR
4587,2022-06-10,82.69790,82.85630,82.08680,82.15860,EUR/INR
4588,2022-06-13,82.05280,82.13120,81.25390,81.29720,EUR/INR
4589,2022-06-14,81.31360,81.83280,81.17240,81.26760,EUR/INR
4590,2022-06-15,81.31600,82.01240,80.92220,81.63340,EUR/INR
4591,2022-06-16,81.62400,82.57870,81.07570,82.23040,EUR/INR
4592,2022-06-17,82.17780,82.25190,81.59110,81.84130,EUR/INR
4593,2022-06-20,81.74970,82.24570,81.74890,81.88280,EUR/INR
4594,2022-06-21,81.94510,82.62980,81.92600,82.32320,EUR/INR
4595,2022-06-22,82.31600,82.92700,81.90420,82.63800,EUR/INR
4596,2022-06-23,82.66840,82.79170,82.06300,82.23690,EUR/INR
4597,2022-06-24,82.23770,82.70260,82.20180,82.56190,EUR/INR
4598,2022-06-27,82.67910,83.25420,82.55240,83.02810,EUR/INR
4599,2022-06-28,82.98770,83.57810,82.96410,83.11360,EUR/INR
4600,2022-06-29,83.10730,83.22250,82.38320,82.41520,EUR/INR
4601,2022-06-30,82.42260,82.83920,82.05520,82.68000,EUR/INR
4602,2022-07-01,82.75360,82.82440,81.88800,82.33340,EUR/INR
4603,2022-07-04,82.34520,82.56530,82.25090,82.26970,EUR/INR
4604,2022-07-05,82.40490,82.61260,81.20170,81.40440,EUR/INR
4605,2022-07-06,81.42420,81.46750,80.32470,80.49820,EUR/INR
4606,2022-07-07,80.52510,80.90510,80.33740,80.45730,EUR/INR
4607,2022-07-08,80.45770,80.79110,79.91850,80.76070,EUR/INR
4608,2022-07-11,80.49630,80.65570,79.77100,79.77330,EUR/INR
4609,2022-07-12,79.65060,80.04050,79.53800,79.76990,EUR/INR
4610,2022-07-13,79.72940,80.61470,79.71150,80.13190,EUR/INR
4611,2022-07-14,80.04030,80.34690,79.78650,80.06560,EUR/INR
4612,2022-07-15,80.09160,80.51500,79.94590,80.47390,EUR/INR
4613,2022-07-18,80.44520,81.55190,80.44520,81.19250,EUR/INR
4614,2022-07-19,81.19490,82.07380,80.91690,81.72910,EUR/INR
4615,2022-07-20,81.72030,82.10290,81.27440,81.43420,EUR/INR
4616,2022-07-21,81.42780,81.95210,81.21600,81.69430,EUR/INR
4617,2022-07-22,81.69150,81.84350,80.95760,81.53650,EUR/INR
4618,2022-07-25,81.48420,81.79630,81.30140,81.47050,EUR/INR
4619,2022-07-26,81.48130,81.73620,80.73230,80.83310,EUR/INR
4620,2022-07-27,80.90540,81.61190,80.76580,81.47130,EUR/INR
4621,2022-07-28,81.50490,81.60590,80.62010,81.19520,EUR/INR
4622,2022-07-29,81.18800,81.41960,80.58300,81.13640,EUR/INR
4623,2022-08-01,81.06500,81.17010,80.86450,81.00430,EUR/INR
4624,2022-08-02,81.06470,81.22970,79.89840,79.91340,EUR/INR
4625,2022-08-03,80.04090,80.74190,80.04090,80.41010,EUR/INR
4626,2022-08-04,80.38710,81.35700,80.37690,81.13960,EUR/INR
4627,2022-08-05,81.13290,81.13290,80.59220,80.80530,EUR/INR
4628,2022-08-08,80.75450,81.30720,80.68190,81.17110,EUR/INR
4629,2022-08-09,81.14450,81.48990,81.08380,81.29390,EUR/INR
4630,2022-08-10,81.28900,81.98550,81.07020,81.44310,EUR/INR
4631,2022-08-11,81.49860,82.37560,81.37600,82.13050,EUR/INR
4632,2022-08-12,82.16590,82.29490,81.55300,81.73300,EUR/INR
4633,2022-08-15,81.71170,81.71170,80.78710,80.83540,EUR/INR
4634,2022-08-16,80.85650,80.92060,80.33290,80.61320,EUR/INR
4635,2022-08-17,80.51240,81.01640,80.50220,80.78820,EUR/INR
4636,2022-08-18,80.77870,81.10940,80.40230,80.46360,EUR/INR
4637,2022-08-19,80.40100,80.54030,80.19390,80.22150,EUR/INR
4638,2022-08-22,80.21230,80.28080,79.31460,79.42920,EUR/INR
4639,2022-08-23,79.43760,79.90100,79.08930,79.63430,EUR/INR
4640,2022-08-24,79.63750,79.76210,79.12760,79.53700,EUR/INR
4641,2022-08-25,79.56950,80.14440,79.53640,79.67420,EUR/INR
4642,2022-08-26,79.70600,80.38710,79.47850,79.68800,EUR/INR
4643,2022-08-29,79.61220,80.12850,79.30460,79.96220,EUR/INR
4644,2022-08-30,79.95620,79.97970,79.54160,79.83170,EUR/INR
4645,2022-08-31,79.94220,80.07720,79.31640,79.92220,EUR/INR
4646,2022-09-01,79.96650,79.97730,79.05590,79.26840,EUR/INR
4647,2022-09-02,79.31080,80.04560,79.21290,79.35800,EUR/INR
4648,2022-09-05,79.11880,79.37530,78.89010,79.25740,EUR/INR
4649,2022-09-06,79.49850,79.77410,78.82270,79.15360,EUR/INR
4650,2022-09-07,79.13760,79.74220,78.89200,79.71600,EUR/INR
4651,2022-09-08,79.59280,79.87320,79.23410,79.70520,EUR/INR
4652,2022-09-09,79.73710,80.44690,79.73510,79.99840,EUR/INR
4653,2022-09-12,80.19840,81.13850,80.19840,80.32250,EUR/INR
4654,2022-09-13,80.32930,80.59750,79.32700,79.33250,EUR/INR
4655,2022-09-14,79.36150,79.61850,78.99710,79.28780,EUR/INR
4656,2022-09-15,79.28750,79.94190,79.19370,79.82580,EUR/INR
4657,2022-09-16,79.91360,79.94160,79.35230,79.77660,EUR/INR
4658,2022-09-19,79.75150,79.92290,79.39910,79.89350,EUR/INR
4659,2022-09-20,79.93810,80.02610,79.42200,79.53620,EUR/INR
4660,2022-09-21,79.51830,79.61120,78.61960,78.64240,EUR/INR
4661,2022-09-22,78.77610,79.96360,78.74200,79.76950,EUR/INR
4662,2022-09-23,79.75900,79.82470,78.60150,78.77050,EUR/INR
4663,2022-09-26,78.82820,79.10490,78.07600,78.45810,EUR/INR
4664,2022-09-27,78.44100,78.70300,78.17020,78.37690,EUR/INR
4665,2022-09-28,78.42060,79.36680,77.79790,79.27790,EUR/INR
4666,2022-09-29,79.21030,80.03600,78.77180,80.02860,EUR/INR
